,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code
2885,Wandsworth Road,1350000,House,1900,4,4,4,,London,SW8 3JF
2886,Hans Crescent,2050000,Flat / Apartment,1003,2,2,2,,London,SW1X 0LJ
2887,Beaufort Gardens,1999950,Flat / Apartment,802,2,2,2,,London,SW3 1PS
2888,Pond Street,875000,Flat / Apartment,943,2,2,2,Hampstead,London,NW3 2PS
2889,Glenburnie Road,1275000,House,1445,3,3,3,,London,SW17 7NE
2890,Barrowgate Road,2850000,House,2833,5,5,5,Chiswick,London,W4 4QU
2891,Bath Road,3500000,House,3775,7,7,7,Bedford Park,London,W4 1LJ
2892,Stanlake Road,1875000,House,2618,5,5,5,,London,W12 7HG
2893,Bridge Street,2100000,House,2139,5,5,5,Chiswick,London,W4 5UF
2894,Abbey Lodge,3750000,Flat / Apartment,2315,4,4,4, St John's Wood,London,NW8 7RJ
2895,Blomfield Road,2450000,Flat / Apartment,1289,2,2,2,Little Venice,London,W9 2PD
2896,Arena Tower,498000,Flat / Apartment,554,1,1,1, Canary Wharf,London,E14 9TA
2897,Oxborough House,590000,Flat / Apartment,795,2,2,2,33 Eltringham Street,London,SW18 1GS
2898,Clerkenwell Road,900000,Flat / Apartment,756,2,2,2,,London,EC1M 5PY
2899,Cranley Gardens,1195000,Flat / Apartment,850,1,1,1,,London,SW7 3DD
2900,Courtfield Gardens,2195000,Flat / Apartment,1268,2,2,2,,London,SW5 0PD
2901,Bassein Park Road,2400000,House,3029,6,6,6,,London,W12 9RZ
2902,Park Mansions,850000,Flat / Apartment,975,3,3,3, Battersea,London,SW11 4HQ
2903,Palace Road,4250000,House,6632,7,7,7,East Molesey,Surrey,KT8 9DN
2904,Manor House,1025000,Flat / Apartment,1070,3,3,3, Marylebone,London,NW1 5NP
2905,Balcombe Street,520000,Flat / Apartment,411,1,1,1,Marylebone,London,NW1 6HD
2906,Charlwood Road,1950000,House,2158,3,3,3,Putney,London,SW15 1PW
2907,Corinthia Residences,8950000,New development,2956,3,3,3,10 Whitehall Place,London,SW1A 2BD
2908,Crane Grove,799950,House,686,2,2,2,,London,N7 8LE
2909,Lansdowne Drive,1295000,House,1364,3,3,3,Hackney,London,E8 3ER
2910,Winterdown Road,775000,House,1149,2,2,2,Esher,Surrey,KT10 8LJ
2911,Dartmouth Terrace,410000,Flat / Apartment,547,1,1,1,Blackheath,London,SE10 8AX
2912,Embassy Works,625000,Flat / Apartment,541,1,1,1,10-12 Lawn Lane,London,SW8 1UD
2913,Dance Square,650000,Flat / Apartment,571,1,1,1,,London,EC1V 3AN
2914,Beacon Tower,595000,Flat / Apartment,735,2,2,2,1 Spectrum Way,London,SW18 4GL
2915,Tamarind Court,2650000,New development,1191,2,2,2,Stone Hall Gardens,London,W8 5UP
2916,Wandsworth Common West Side,2500000,House,2882,6,6,6,Wandsworth,London,SW18 2ED
2917,Queenstown Road,950000,House,1661,4,4,4,Battersea,London,SW8 3QD
2918,Fladgate House,820000,New development,797,1,1,1,,4 Circus Road West,SW11 8EU
2919,Heath Rise,1225000,Flat / Apartment,2056,3,3,3, Putney,London,SW15 3HF
2920,Pembridge Villas,1795000,Flat / Apartment,1118,2,2,2,Notting Hill,London,W11 3EL
2921,The Woodlands,1000000,House,1666,3,3,3,Esher,Surrey,KT10 8DD
2922,Holroyd Road,2295000,House,2899,4,4,4,Putney,London,SW15 6LN
2923,Campden Hill Court,5000000,Flat / Apartment,2248,4,4,4,Campden Hill Road,London,W8 7HX
2924,Campion Road,2895000,House,3414,6,6,6,Putney,London,SW15 6NN
2925,Rutland Gate,1000000,Flat / Apartment,728,2,2,2,,London,SW7 1BH
2926,Highbury New Park,625000,Flat / Apartment,825,2,2,2,,London,N5 2DJ
2927,Freeland Road,3000000,House,4088,6,6,6,Ealing,London,W5 3HR
2928,Edge Hill,3950000,New development,4438,5,5,5,Wimbledon,London,SW19 4NP
2929,Gorst Road,2999000,House,3295,6,6,6,,London,SW11 6JE
2930,Gloucester Street,965000,Flat / Apartment,925,2,2,2,Pimlico,London,SW1V 2DB
2931,Byfeld Gardens,2000000,House,2127,4,4,4,Barnes,London,SW13 9HP
2932,Montagu Mews West,5000000,House,2332,4,4,4,,Marylebone,W1H 2EE
2933,Marryat Place,3450000,New development,3802,5,5,5,Wimbledon,London,SW19 5BL
2934,Callow Street,895000,Flat / Apartment,555,1,1,1,,London,SW3 6BJ
2935,Oxshott,5000000,House,7879,6,6,6,,Surrey,KT22 0QB
2936,Stanley Grove,1095000,House,1256,4,4,4,,London,SW8 3PB
2937,West Eaton Place Mews,5650000,House,2753,4,4,4,Belgravia,London,SW1X 8LY
2938,Foyle Road,2820000,New development,3900,5,5,5,Blackheath,London,SE3 7RH
2939,Worple Avenue,2250000,House,2835,5,5,5,Wimbledon,London,SW19 4JQ
2940,Speldhurst Road,1450000,House,1667,4,4,4,South Hackney,London,E9 7EH
2941,City Road,700000,Flat / Apartment,997,2,2,2,,London,EC1V 2NR
2942,Exchange Building,1850000,Penthouse,1836,2,2,2, Spitalfields,London,E1 6NQ
2943,Doughty Street,3000000,House,3325,7,7,7,Bloomsbury,London,WC1N 2AA
2944,Boundaries Road,1525000,House,2232,5,5,5,,London,SW12 8HG
2945,Hatton Wall,1350000,Penthouse,1117,2,2,2,Clerkenwell,London,EC1N 8JJ
2946,Dallington Street,625000,Flat / Apartment,636,1,1,1,Clerkenwell,London,EC1V 0DB
2947,Marville Road,1650000,House,1576,4,4,4,Fulham,London,SW6 7BB
2948,Inverness Street,450000,Flat / Apartment,500,1,1,1,Camden,London,NW1 7HB
2949,Telford Terrace,1625000,House,1372,4,4,4,,London,SW1V 3AE
2950,The Drive,1000000,House,1528,4,4,4,,Northwood,HA6 1HW
2951,Rosebery Avenue,850000,Flat / Apartment,848,2,2,2,Clerkenwell,London,EC1R 4UL
2952,Spencer Road,2495000,House,3609,6,6,6,,Twickenham,TW2 5TH
2953,Chiswick Quay,2250000,House,2469,4,4,4,,London,W4 3UR
2954,Hamilton Terrace,3950000,House,2803,5,5,5,St. John's Wood,London,NW8 9UG
2955,Surrey Square,1750000,House,2396,5,5,5,,London,SE17 2JX
2956,Newcastle House,1195000,Flat / Apartment,678,1,1,1, Marylebone,London,W1U 5BR
2957,Magdalen Road,650000,Flat / Apartment,1077,2,2,2,Wandsworth,London,SW18 3NY
2958,Perrymead Street,3000000,House,3027,5,5,5, Parsons Green,London,SW6 3SN
2959,Ceram Court,550000,Flat / Apartment,960,2,2,2, Bow,London,E3 3GW
2960,Bristol House,1000000,Flat / Apartment,659,1,1,1,67 Lower Sloane Street,London,SW1W 8DD
2961,Park Square East,9950000,House,4876,6,6,6,Regent's Park,London,NW1 4LH
2962,Chelsea Square,11950000,House,4785,5,5,5,,London,SW3 6LH
2963,Trefoil Road,1500000,House,2123,5,5,5,Wandsworth,London,SW18 2EQ
2964,Leathwaite Road,599999,Flat / Apartment,665,2,2,2,,London,SW11 1XG
2965,Nevern Square,995000,Flat / Apartment,1021,2,2,2,,London,SW5 9NN
2966,Plender Street,525000,Flat / Apartment,565,1,1,1,Camden,London,NW1 0LB
2967,Ebury Street,2395000,Flat / Apartment,1190,3,3,3,,London,SW1W 0PA
2968,Abingdon Court,2100000,Flat / Apartment,1367,3,3,3, Kensington,London,W8 6BS
2969,Geraldine Road,800000,Flat / Apartment,1044,2,2,2,Wandsworth,London,SW18 2NT
2970,Glenalmond House,885000,Flat / Apartment,1113,3,3,3, Putney,London,SW15 3LP
2971,Howards Lane,2395000,House,2881,5,5,5,Putney,London,SW15 6NZ
2972,Maitland Court,1680000,Flat / Apartment,1502,3,3,3, Paddington,London,W2 3PD
2973,Thornton Avenue,2000000,House,2178,4,4,4,Chiswick,London,W4 1QF
2974,Corney Reach Way,1175000,House,1752,3,3,3,Chiswick,London,W4 2TY
2975,Fulham Park Gardens,2350000,House,2720,6,6,6,Fulham,London,SW6 4JX
2976,Bute Avenue,4200000,House,4591,6,6,6,Richmond,Surrey,TW10 7AX
2977,Chepstow Road,1550000,Flat / Apartment,1227,2,2,2,Notting Hill,London,W2 5BH
2978,St. Dionis Road,2500000,House,2314,4,4,4, Fulham,London,SW6 4TT
2979,Weststand Apartments,695000,Flat / Apartment,871,2,2,2,Highbury Stadium Square,London,N5 1FH
2980,Harefield,775000,House,1368,3,3,3,Esher,Surrey,KT10 9TG
2981,Philbeach Gardens,4950000,House,4622,6,6,6,,London,SW5 9EB
2982,Philbeach Gardens,1795000,Flat / Apartment,1402,4,4,4,,London,SW5 9DY
2983,Wandsworth Common West Side,2550000,House,2665,5,5,5,Wandsworth,London,SW18 2ED
2984,Oyster Wharf,565000,Flat / Apartment,711,2,2,2, Battersea,London,SW11 3RJ
2985,Block A,2500000,Flat / Apartment,1950,3,3,3,50 Holland Street,London,SE1 9FU
2986,East Hill,885000,Flat / Apartment,920,2,2,2,Wandsworth,London,SW18 2HG
2987,Sefton Street,399950,New development,362,1,1,1,Putney,London,SW15 1NA
2988,Darwin Court,895000,Flat / Apartment,1013,2,2,2, Primrose Hill,London,NW1 7BQ
2989,North Side Wandsworth Common,550000,Flat / Apartment,654,2,2,2,,London,SW18 2SL
2990,Airedale Road,1450000,House,2270,4,4,4,,London,SW12 8SF
2991,Television Centre,1160000,New development,861,2,2,2,101 Wood Lane,London,W12 7FT
2992,Atrium Apartments,2500000,Flat / Apartment,1227,2,2,2, St John's Wood,London,NW8 7EA
2993,Ennismore Gardens,1575000,Flat / Apartment,699,1,1,1,,London,SW7 1NP
2994,Langdon Park Road,2500000,House,3613,7,7,7,Highgate,London,N6 5QG
2995,Draycott Place,1150000,Flat / Apartment,682,1,1,1,,London,SW3 2SB
2996,Fassett Square,1450000,House,1727,4,4,4,,London,E8 1DQ
2997,Cadogan Lane,2650000,House,1304,2,2,2,,London,SW1X 9DX
2998,Birkbeck Road,1175000,House,1601,4,4,4,Wimbledon,London,SW19 8NZ
2999,Loddiges Road,360000,Flat / Apartment,630,2,2,2,South Hackney,London,E9 7PJ
3000,Linnet Court,670000,Flat / Apartment,920,2,2,2, Putney,London,SW15 6RJ
3001,Thornton Place,799500,Flat / Apartment,898,2,2,2,,London,SW4 0AB
3002,Hartismere Road,1250000,House,1828,4,4,4,Fulham,London,SW6 7UE
3003,Ayr Court,350000,Flat / Apartment,422,1,1,1,Monks Drive,London,W3 0EA
3004,Kings Drive,895000,House,1579,4,4,4,Thames Ditton,Surrey,KT7 0TH
3005,Fee Farm Road,1500000,House,2122,5,5,5, Esher,Surrey,KT10 0JX
3006,Trevor Square,4250000,House,1978,4,4,4,Knightsbridge,London,SW7 1DY
3007,Porteus Place,1225000,Flat / Apartment,1262,3,3,3,,London,SW4 0AS
3008,Newark Street,1150000,House,1447,4,4,4,,London,E1 2AA
3009,Queen Anne's Gate,14850000,House,7800,6,6,6,,London,SW1H 9AA
3010,Larkhall Rise,2250000,House,2422,5,5,5,,London,SW4 6LB
3011,Gore Road,405000,Flat / Apartment,376,1,1,1,South Hackney,London,E9 7HR
3012,Eleven Acre Rise,2750000,House,5310,5,5,5,Loughton,Essex,IG10 1AN
3013,Southgate Road,1695000,House,2160,4,4,4,Islington,London,N1 3HX
3014,Cross Street,850000,Flat / Apartment,770,2,2,2,Islington,London,N1 2BA
3015,Television Centre,1295000,Flat / Apartment,924,2,2,2,101 Wood Lane,London,W12 7FT
3016,80 Rainville Road,2750000,Flat / Apartment,1765,3,3,3,Hammersmith,London,W6 9HS
3017,The Tower,2750000,Flat / Apartment,1539,3,3,3, Vauxhall,London,SW8 2DA
3018,Maddox Street,1500000,Flat / Apartment,638,1,1,1,,London,W1S 2QJ
3019,City Road,599950,Flat / Apartment,495,1,1,1,Clerkenwell,London,EC1V 2PY
3020,Mulberry Court,1100000,Flat / Apartment,1461,3,3,3,1 School Mews,London,E1 0EW
3021,Eton Avenue,4750000,House,2890,5,5,5,Belsize Park,London,NW3 3HL
3022,Castelnau,2500000,House,3053,5,5,5,Barnes,London,SW13 9EW
3023,Richard Burbidge Mansions,1250000,Flat / Apartment,1281,2,2,2,1 Brasenose Drive,London,SW13 8RB
3024,Boat Race House,1650000,New development,1887,2,2,2,63 Mortlake High Street,London,SW14 8HL
3025,Cathcart Road,6250000,House,3215,5,5,5,Chelsea,London,SW10 9NN
3026,London House,5295000,Penthouse,2807,4,4,4, St John's Wood,London,NW8 7PX
3027,Hasker Street,3500000,House,1481,3,3,3,,London,SW3 2LQ
3028,Ovington Square,14500000,House,7156,6,6,6,,London,SW3 1LJ
3029,Somerset Square,4250000,House,2631,2,2,2,,London,W14 8EE
3030,Lanherne House,699950,Flat / Apartment,1087,3,3,3,9 The Downs,London,SW20 8JG
3031,Craven Hill Gardens,1100000,Flat / Apartment,718,1,1,1,,London,W2 3EA
3032,Studdridge Street,3100000,House,2885,6,6,6, Fulham,London,SW6 3SL
3033,Spinnaker House,700000,Flat / Apartment,990,2,2,2, Battersea,London,SW18 1FR
3034,Artillery Mansions,1600000,Flat / Apartment,1078,2,2,2, Westminster,London,SW1H 0HX
3035,Huntingfield Road,625000,House,899,2,2,2,Putney,London,SW15 5ER
3036,Briary Close,1895000,House,1975,5,5,5,Swiss Cottage,London,NW3 3JZ
3037,Ladbroke Grove,485000,Flat / Apartment,454,1,1,1,Notting Hill,London,W11 1PG
3038,Layer Gardens,2150000,House,2887,6,6,6,Ealing,London,W3 9PR
3039,Sindercombe Mews,1200000,House,1358,2,2,2,,London,W12 9BQ
3040,Faraday Lodge,565000,Flat / Apartment,895,2,2,2, Greenwich,London,SE10 0QL
3041,Broomwood Road,600000,Flat / Apartment,736,3,3,3,,London,SW11 6JF
3042,Boat Race House,1850000,New development,1978,3,3,3,63 Mortlake High Street,London,SW14 8HL
3043,Eglantine Road,1275000,House,1766,4,4,4,Wandsworth,London,SW18 2DD
3044,Longmoore Street,2100000,House,1913,4,4,4,,London,SW1V 1JQ
3045,Elizabeth Street,3450000,Flat / Apartment,2377,5,5,5,,London,SW1W 9PB
3046,Elsworthy Rise,1050000,New development,546,1,1,1,Primrose Hill,London,NW3 3DS
3047,Well Road,6950000,New development,4295,5,5,5,Hampstead,London,NW3 1LH
3048,St John Street,999950,Penthouse,764,2,2,2,,London,EC1V 4ND
3049,Mandeville Courtyard,995000,Flat / Apartment,1115,2,2,2, Battersea,London,SW11 4NB
3050,Hornsey Lane Gardens,1150000,Flat / Apartment,1346,3,3,3,Highgate,London,N6 5NY
3051,Boat Race House,2200000,Penthouse,1715,2,2,2,63 Mortlake High Street,London,SW14 8HL
3052,Boat Race House,1800000,Penthouse,1490,2,2,2,63 Mortlake High Street,London,SW14 8HL
3053,Warwick Way,680000,Flat / Apartment,681,2,2,2,,London,SW1V 1QR
3054,Butler House,925000,New development,1033,3,3,3, Maida Vale,London,W9 2DP
3055,Westbourne Terrace Road,1800000,Flat / Apartment,1441,3,3,3,Little Venice,London,W2 6NG
3056,Packington Street,1000000,Flat / Apartment,923,2,2,2,Islington,London,N1 8RA
3057,Vincent Close,1765000,House,3354,5,5,5,Esher,Surrey,KT10 8AW
3058,Horseshoe Court,835000,Flat / Apartment,744,2,2,2,11 Brewhouse Yard,London,EC1V 4JU
3059,Tring Avenue,1900000,House,2599,5,5,5,,London,W5 3QD
3060,Jackson & Joseph Building,1900000,Flat / Apartment,2114,2,2,2,8 Princelet Street,London,E1 6QJ
3061,Upper Richmond Road,540000,Flat / Apartment,615,2,2,2,Putney,London,SW15 2TX
3062,Palm House,899950,Flat / Apartment,1025,3,3,3,70 Sancroft Street,London,SE11 5AH
3063,Macaulay Road,5950000,House,6776,8,8,8,Clapham,London,SW4 0QX
3064,Poppyfield House,460000,Flat / Apartment,767,2,2,2,Copperwood Place,London,SE10 8GD
3065,Ormond House,730000,Flat / Apartment,626,2,2,2,Medway Street,London,SW1P 2TB
3066,Lingfield Road,1495000,Flat / Apartment,1618,3,3,3,,London,SW19 4PU
3067,Blue Row Cottage,525000,House,833,3,3,3,Upshirebury Green,Essex,EN9 3ST
3068,Carlton Hill,1195000,Flat / Apartment,839,2,2,2,St. John's Wood,London,NW8 0JY
3069,Eardley Crescent,775000,Flat / Apartment,828,2,2,2,,London,SW5 9JS
3070,Anhalt Road,3200000,House,2634,5,5,5,Battersea,London,SW11 4NZ
3071,Clare Hill,2495000,House,4185,6,6,6,Esher,Surrey,KT10 9NB
3072,Hardman Road,699950,House,1037,3,3,3,Kingston upon Thames,Surrey,KT2 6RH
3073,Carew Road,500000,Flat / Apartment,955,2,2,2,Northwood,Middlesex,HA6 3NL
3074,Almeric Road,699999,Flat / Apartment,970,2,2,2,,London,SW11 1HL
3075,Ellington Street,500000,Flat / Apartment,462,1,1,1,,London,N7 8PL
3076,Seymour Road,1150000,House,1774,4,4,4,East Molesey,Surrey,KT8 0PB
3077,17 Lillie Square,2170000,New development,1083,3,3,3, Earls Court,London,SW6 1UE
3078,Queen's Gate Terrace,1395000,Flat / Apartment,924,2,2,2,,London,SW7 5PL
3079,Brynmaer Road,2300000,House,2062,4,4,4,,London,SW11 4EW
3080,Eagle Point,899995,Flat / Apartment,863,2,2,2, Old Street,London,EC1V 1AR
3081,Battersea High Street,900000,House,902,2,2,2,,London,SW11 3HX
3082,Norfolk Road,6395000,House,2944,3,3,3,St. John's Wood,London,NW8 6HE
3083,Belgravia Court,1350000,Flat / Apartment,750,2,2,2,33 Ebury Street,London,SW1W 0NY
3084,Icon Apartments,5000000,Penthouse,4004,4,4,4, Pimlico,London,SW1V 3JY
3085,Queensmill Road,2300000,House,2713,6,6,6,Fulham,London,SW6 6JP
3086,Welbeck House,6100000,Flat / Apartment,2625,5,5,5, Marylebone,London,W1G 9XE
3087,Castlebar Hill,950000,House,968,2,2,2,Ealing,London,W5 1TD
3088,St. George's Square,2325000,Penthouse,1895,4,4,4,Pimlico,London,SW1V 3QN
3089,Ingram Avenue,17950000,House,14358,7,7,7,Hampstead Garden Suburb,London,NW11 6TL
3090,Coleherne Court,1195000,Flat / Apartment,1039,3,3,3,Old Brompton Road,London,SW5 0EE
3091,Airedale Avenue,2250000,House,1874,5,5,5,Chiswick,London,W4 2NW
3092,Bridges Wharf,595000,Flat / Apartment,674,2,2,2, Battersea,London,SW11 3GZ
3093,Birdhurst Road,700000,Flat / Apartment,801,3,3,3,,London,SW18 1AR
3094,Ann Street,675000,Flat / Apartment,736,2,2,2,,London,N1 7FF
3095,Quartz House,800000,Flat / Apartment,907,2,2,2, Ealing,London,W5 2XA
3096,Kings Road,1100000,Flat / Apartment,1156,2,2,2,,London,SW10 0TX
3097,Kingsway,995000,Flat / Apartment,685,2,2,2,,London,WC2B 6EL
3098,North Gate,3500000,Flat / Apartment,2423,4,4,4, St. John's Wood,London,NW8 7EJ
3099,Burlington Gardens,3950000,House,4188,7,7,7,Chiswick,London,W4 4LT
3100,South Terrace,6750000,House,3719,5,5,5,,London,SW7 2TB
3101,Wilton Place,9000000,House,4039,5,5,5,,London,SW1X 8RL
3102,Bentley Priory,700000,Flat / Apartment,1221,3,3,3, Stanmore,Middlesex,HA7 3FB
3103,Oaklands Estate,500000,Flat / Apartment,945,4,4,4,Clapham,London,SW4 8AG
3104,Kirby Street,950000,Flat / Apartment,870,2,2,2,Clerkenwell,London,EC1N 8TE
3105,St. Luke's Avenue,1100000,New development,1310,2,2,2,,London,SW4 7EB
3106,Carillon Court,470000,Penthouse,496,1,1,1, Shoreditch,London,E1 5EN
3107,Petersham Road,2980000,House,3433,6,6,6,Richmond,Surrey,TW10 7DA
3108,Hopkinsons Place,1250000,Flat / Apartment,969,3,3,3,Primrose Hill,London,NW1 8TN
3109,Reform Street,850000,House,1017,2,2,2,Battersea,London,SW11 5AJ
3110,Tufton Court,1325000,Flat / Apartment,1167,3,3,3,Tufton Street,London,SW1P 3QH
3111,The Knightsbridge Apartments,6950000,Flat / Apartment,1584,3,3,3,199 Knightsbridge,London,SW7 1RH
3112,Hilliard Road,650000,House,1386,4,4,4,Northwood,Middlesex,HA6 1SP
3113,St. Peters Square,3400000,House,2441,4,4,4,Hammersmith,London,W6 9AB
3114,Drake House,1650000,Flat / Apartment,1189,2,2,2,76 Marsham Street,London,SW1P 4LY
3115,The Belvedere,2750000,Flat / Apartment,2080,4,4,4, Chelsea,London,SW10 0XA
3116,Wheatley Street,2200000,Flat / Apartment,1119,2,2,2,Marylebone,London,W1G 8PS
3117,Ellerby Street,3875000,House,4095,7,7,7, Fulham,London,SW6 6EY
3118,Cornwall Gardens,4350000,Penthouse,2494,3,3,3,,London,SW7 4BQ
3119,Colefax Building,475000,Flat / Apartment,542,1,1,1,23 Plumbers Row,London,E1 1EQ
3120,Sculpture House,450000,Flat / Apartment,738,2,2,2,4 Killick Way,London,E1 3FE
3121,Westbourne Terrace,1450000,Flat / Apartment,1067,2,2,2,,London,W2 6QT
3122,Durham Terrace,2250000,Flat / Apartment,1539,2,2,2,,London,W2 5PB
3123,New Road,4750000,House,8081,7,7,7,Esher,Surrey,KT10 9PG
3124,Cedars Road,3500000,House,3001,5,5,5,Barnes,London,SW13 0HP
3125,New Atlas Wharf,865000,Flat / Apartment,1551,3,3,3,3 Arnhem Place,London,E14 3SS
3126,Benbow House,8250000,Penthouse,4555,5,5,5, Southwark,London,SE1 9DS
3127,Kent Terrace,7500000,House,3792,5,5,5,Regent's Park,London,NW1 4RP
3128,Park Street,7925000,House,2648,4,4,4,Mayfair,London,W1K 2JZ
3129,Westbridge Road,5250000,House,4144,6,6,6,Battersea Park,London,SW11 3PW
3130,Residence Tower,595000,Flat / Apartment,795,2,2,2,Woodberry Grove,London,N4 2BS
3131,Acfold Road,2650000,House,2454,6,6,6,Fulham,London,SW6 2AL
3132,Abbey Lodge,5950000,Penthouse,2220,4,4,4, St John's Wood,London,NW8 7RL
3133,North Gate,5600000,Flat / Apartment,2509,4,4,4, St. John's Wood,London,NW8 7EH
3134,New Road,2250000,House,3889,4,4,4,Esher,Surrey,KT10 9PG
3135,Dalling Road,1100000,House,1454,4,4,4,,London,W6 0JD
3136,Doulton House,1195000,Flat / Apartment,1024,3,3,3, Fulham,London,SW6 2FS
3137,Queensbridge Road,975000,Flat / Apartment,1194,3,3,3,Hackney,London,E8 3AR
3138,Windsor House,600000,Flat / Apartment,1219,3,3,3, Bushey,Hertfordshire,WD23 2RH
3139,Chiltern Place,4950000,New development,1627,2,2,2,66 Chiltern Street,Marylebone,W1U 6NJ
3140,Oakhill Avenue,995000,House,1762,4,4,4,Pinner,Middlesex,HA5 3DL
3141,Hereford Road,725000,Flat / Apartment,521,1,1,1,Notting Hill,London,W2 5AJ
3142,Hollandgreen Place,2750000,New development,1184,2,2,2,,London,W8 6AX
3143,South Quay Plaza,1375000,New development,1203,3,3,3,Canary Wharf,London,E14 9SH
3144,Wardian West Tower,1850000,Penthouse,1268,2,2,2, Canary Wharf,London,E14 9TP
3145,Kings Gate Walk,1825000,New development,934,2,2,2,Victoria,London,SW1E 6AN
3146,St George's Park,807995,New development,1650,5,5,5,Suttons Lane,Hornchurch,RM12 6RS
3147,Fairacres,1325000,Flat / Apartment,2403,4,4,4, Putney,London,SW15 5LX
3148,Buckingham Gate,750000,Flat / Apartment,596,1,1,1,,London,SW1E 6PB
3149,Wardian East Tower,575000,New development,531,1,1,1, Canary Wharf,London,E14 9TP
3150,Gertrude Street,1425000,Flat / Apartment,983,2,2,2,,London,SW10 0JG
3151,The Arthaus Apartments,550000,Flat / Apartment,672,2,2,2,205 Richmond Road,London,E8 3FF
3152,Duchess of Bedford House,2200000,Flat / Apartment,1337,3,3,3,Duchess of Bedfords Walk,London,W8 7QN
3153,Malvern Terrace,2000000,House,1450,4,4,4,Islington,London,N1 1HR
3154,Regan Yard,640000,New development,794,3,3,3, London,N1 6FU,N1 6PH
3155,Aberdeen Road,3500000,House,3247,5,5,5,,London,N5 2XB
3156,23 Maud Street,765000,Flat / Apartment,1234,3,3,3,Royal Docks,London,E16 1YU
3157,Mozart Terrace,7500000,House,3871,5,5,5,Ebury Street,London,SW1W 8UP
3158,Gayville Road,875000,Flat / Apartment,782,2,2,2,,London,SW11 6JP
3159,The Spinney,4350000,New development,8151,5,5,5,Queens Drive,Oxshott,KT22 0PL
3160,Jessel Drive,475000,House,1018,3,3,3,Loughton,Essex,IG10 2EX
3161,Boat Race House,1320000,New development,1452,2,2,2,63 Mortlake High Street,London,SW14 8HL
3162,Whiston House,550000,Flat / Apartment,558,2,2,2, Halton Road,London,N1 2DH
3163,Ebury Square,5395000,Flat / Apartment,1845,3,3,3,,London,SW1W 9AH
3164,Hallowell Road,300000,Flat / Apartment,573,1,1,1,Northwood,Middlesex,HA6 1DT
3165,Sussex Square,1600000,Flat / Apartment,1535,4,4,4,Paddington,London,W2 2SR
3166,St John's Place,890000,Flat / Apartment,800,2,2,2,Clerkenwell,London,EC1M 4NP
3167,Junction House,862000,New development,978,3,3,3, Battersea,London,SW11 2NU
3168,Regents House,775000,New development,636,1,1,1, Battersea,London,SW11 4FA
3169,Charles Street,1600000,New development,1500,3,3,3,Barnes,London,SW13 0NZ
3170,Queen's Gate Place,1950000,Flat / Apartment,1376,2,2,2,,London,SW7 5NU
3171,Goodwood Court,680000,Flat / Apartment,484,1,1,1,54-57 Devonshire Street,London,W1W 5DZ
3172,Old Church Street,7600000,House,2896,4,4,4,,London,SW3 5DQ
3173,Overstrand Mansions,1800000,Flat / Apartment,1386,3,3,3,Prince of Wales Drive,London,SW11 4HA
3174,Overstrand Mansions,1490000,Flat / Apartment,1452,3,3,3,Prince of Wales Drive,London,SW11 4EY
3175,Cranbourne Court,1500000,Flat / Apartment,1088,2,2,2,Albert Bridge Road,London,SW11 4PE
3176,Enclave Court,1100000,Flat / Apartment,1056,1,1,1, Clerkenwell,London,EC1V 0BH
3177,Girdlers Road,1030000,Flat / Apartment,959,2,2,2,Brook Green,London,W14 0PS
3178,Television Centre,1350000,Flat / Apartment,1007,2,2,2,3 Wood Crescent,London,W12 7GN
3179,Pentland House,880000,Flat / Apartment,693,2,2,2,188 Cromwell Road,London,SW5 0SJ
3180,Belgrave Court,875000,Flat / Apartment,1278,2,2,2, Canary Wharf,London,E14 8RJ
3181,Gooch House,544999,Flat / Apartment,792,2,2,2, Greenwich,London,SE10 0XL
3182,Holland Road,799000,Flat / Apartment,835,1,1,1,,London,W14 8HL
3183,Cadogan Court,5250000,Flat / Apartment,2456,4,4,4, Chelsea,London,SW3 3BX
3184,Winchester Place,2150000,New development,2453,4,4,4,Highgate,London,N6 5HJ
3185,Winchester Place,2000000,New development,2421,4,4,4,Highgate,London,N6 5HJ
3186,Windmill Road,1000000,House,2701,4,4,4,Brentford,London,TW8 9NH
3187,Green Street,3850000,Flat / Apartment,995,2,2,2,Mayfair,London,W1K 6RL
3188,Christchurch,875000,Flat / Apartment,1193,2,2,2, Richmond,Surrey,TW9 2AU
3189,Lammas Park Road,700000,Flat / Apartment,1025,3,3,3,,London,W5 5JD
3190,Sedlescombe Road,2000000,House,2282,4,4,4,,London,SW6 1RB
3191,Elsworthy Road,7250000,New development,3185,4,4,4,Primrose Hill,London,NW3 3DS
3192,Roland Gardens,3250000,Flat / Apartment,2476,4,4,4,,London,SW7 3PG
3193,Sloane Court East,1075000,Flat / Apartment,724,1,1,1,,London,SW3 4TQ
3194,Bickenhall Mansions,2850000,Flat / Apartment,2163,4,4,4,Bickenhall Street,London,W1U 6BU
3195,Stanley Mansions,1650000,Flat / Apartment,1139,3,3,3, Chelsea,London,SW10 0AG
3196,Carrington House,1700000,Flat / Apartment,788,2,2,2, Mayfair,London,W1J 7RG
3197,Winston Road,1350000,House,1552,4,4,4,,London,N16 9LL
3198,Milton Grove,2395000,House,2277,4,4,4,Stoke Newington,London,N16 8QY
